source,target,weight
150,450,0.4790087625209189
150,36,0.4715618610305618
150,3,0.46131820731463474
150,1,0.44708584593024875
151,222,0.1754249473708462
151,183,0.17001338053766793
151,154,0.1602052696729109
151,451,0.12526216310677526
151,382,0.11989436971113306
152,374,0.4362531971515635
152,146,0.3977077602894949
152,171,0.3869590696758227
152,455,0.38081907190580155
152,458,0.3681802715990716
153,126,0.1375943975037034
153,199,0.1334707005828601
153,107,0.12460757716117626
153,279,0.11499618708139867
153,376,0.11288373420687124
154,222,0.34244601672922065
154,451,0.30603696892285054
154,279,0.28736581915339054
154,109,0.2787444132208983
154,91,0.265025790917953
155,173,0.2867589838658897
155,1,0.28146206558027104
155,374,0.2745200986703023
155,417,0.2573800890412393
155,275,0.25273111079868843
156,374,0.3297792545149542
156,348,0.32540156595695663
156,14,0.30622008588868505
156,146,0.2993819600889703
156,16,0.29719876252460053
157,173,0.5635278451744417
157,374,0.5132680702946189
157,332,0.4720221899294213
157,275,0.4668305045388639
157,384,0.44094591077409456
158,1,0.5096940845635535
158,3,0.48328187749198737
158,16,0.46128668288799896
158,374,0.45529616875031154
158,14,0.4530974007912247
159,389,0.41173170523980746
159,336,0.3120371811425519
159,429,0.27671548547193386
159,419,0.27245717455432245
159,220,0.24792399885042526
160,169,0.1859855300614746
160,143,0.16360035982396295
160,304,0.13417365687213564
160,444,0.12765690596432838
160,413,0.12677952667914433
161,451,0.3552397622680861
161,130,0.33257479697574716
161,320,0.285952188173952
161,190,0.22060792044033162
161,398,0.20472946497912206
162,1,0.30466308483495397
162,52,0.27466243501111187
162,441,0.26251446078284785
162,3,0.2624606062213725
162,62,0.25816483862572315
163,401,0.14406179401446303
163,169,0.13354273846784362
163,387,0.12494841111479264
163,441,0.12133571198506722
163,52,0.11919509701111168
164,1,0.46841998199089935
164,374,0.45919567689699187
164,54,0.42654158900612815
164,134,0.4252944105511281
164,52,0.42482430285106954
165,304,0.3048572407399278
165,128,0.3047433310759038
165,451,0.29263328591925286
165,279,0.25164585999248834
165,130,0.24631105466507133
166,130,0.2511768800361081
166,208,0.20637793746963798
166,145,0.1561068491241137
166,429,0.14793086145001388
166,260,0.14552739648884822
167,388,0.09956984667560033
167,467,0.09672276344604655
167,305,0.08877843236555923
167,74,0.08839713075762425
167,253,0.08801346151019973
168,374,0.3706933630361818
168,1,0.35957260537446245
168,384,0.3569651767060333
168,52,0.3430528506258299
168,14,0.3332790712555591
169,387,0.3205318111904672
169,468,0.3055119007208351
169,67,0.29190399199314376
169,275,0.28546655814698807
169,50,0.28535013613594734
170,1,0.5561038491432025
170,111,0.518902584511577
170,374,0.5147902357225668
170,52,0.5116643846881821
170,3,0.5053290777784916
171,419,0.6761848302607765
171,233,0.6327144845297552
171,239,0.5944080434358423
171,146,0.5545833033894395
171,191,0.3960268653685923
172,1,0.2876835814552873
172,417,0.28097859374817824
172,3,0.2536428021488733
172,111,0.2525606659663557
172,16,0.2518288188780099
173,374,0.6895057448365622
173,1,0.6332461106649293
173,384,0.6026130785605026
173,275,0.5864958807662525
173,458,0.5742439993675321
174,146,0.2745082027454674
174,152,0.227915716682209
174,171,0.21438541685899595
174,423,0.1982061060958817
174,406,0.19347377027632467
175,393,0.16643715916134968
175,134,0.16308344150110818
175,136,0.16161128160975818
175,446,0.1583024386813904
